"","t","df694dee9e5522371a394ade1b31d522"
"1",1900,0
"2",1901,0
"3",1902,0
"4",1903,0
"5",1904,0
"6",1905,0
"7",1906,0
"8",1907,0
"9",1908,0
"10",1909,0
"11",1910,0
"12",1911,0
"13",1912,0
"14",1913,0
"15",1914,0
"16",1915,0
"17",1916,0
"18",1917,0
"19",1918,0
"20",1919,0
"21",1920,0
"22",1921,0
"23",1922,0
"24",1923,0
"25",1924,0
"26",1925,0
"27",1926,0
"28",1927,0
"29",1928,0
"30",1929,0
"31",1930,0
"32",1931,0
"33",1932,0
"34",1933,0
"35",1934,0
"36",1935,0
"37",1936,0
"38",1937,0
"39",1938,0
"40",1939,0
"41",1940,0
"42",1941,0
"43",1942,0
"44",1943,0
"45",1944,0
"46",1945,0
"47",1946,0
"48",1947,0
"49",1948,0
"50",1949,0
"51",1950,0
"52",1951,0
"53",1952,0
"54",1953,0
"55",1954,0
"56",1955,0
"57",1956,0
"58",1957,0
"59",1958,0
"60",1959,0
"61",1960,0
"62",1961,0
"63",1962,0
"64",1963,0
"65",1964,0
"66",1965,0
"67",1966,0
"68",1967,0
"69",1968,0
"70",1969,0
"71",1970,0
"72",1971,0
"73",1972,0
"74",1973,0
"75",1974,0
"76",1975,0
"77",1976,0
"78",1977,0
"79",1978,0
"80",1979,0
"81",1980,0
"82",1981,0
"83",1982,0
"84",1983,0
"85",1984,0
"86",1985,0
"87",1986,0
"88",1987,0
"89",1988,0
"90",1989,0
"91",1990,0
"92",1991,0
"93",1992,0
"94",1993,0
"95",1994,0
"96",1995,0
"97",1996,0
"98",1997,0
"99",1998,0
"100",1999,0
"101",2000,0
"102",2001,0
"103",2002,0
"104",2003,0
"105",2004,0
"106",2005,0
"107",2006,2.58077984589455e-08
"108",2007,1.90694780089437e-07
"109",2008,1.40902764729622e-06
"110",2009,1.04099223949987e-05
"111",2010,7.68397754977044e-05
"112",2011,0.000563458131213462
"113",2012,0.00394204084210153
"114",2013,0.0209117334611814
"115",2014,0.0500989236097957
"116",2015,0.0617660239971335
"117",2016,0.0637760572525247
"118",2017,0.0640581807333808
"119",2018,0.0640965538685356
"120",2019,0.0641017506398916
"121",2020,0.0641024540111549
"122",2021,0.0641017506398916
"123",2022,0.0641017506398916
"124",2023,0.0641017506398916
"125",2024,0.0641017506398916
"126",2025,0.0641017506398916
"127",2026,0.0641017506398916
"128",2027,0.0641017506398916
"129",2028,0.0641017506398916
"130",2029,0.0641017506398916
"131",2030,0.0641017506398916
"132",2031,0.0641017506398916
"133",2032,0.0641017506398916
"134",2033,0.0641017506398916
"135",2034,0.0641017506398916
"136",2035,0.0641017506398916
"137",2036,0.0641017506398916
"138",2037,0.0641017506398916
"139",2038,0.0641017506398916
"140",2039,0.0641017506398916
"141",2040,0.0641017506398916
"142",2041,0.0641017506398916
"143",2042,0.0641017506398916
"144",2043,0.0641017506398916
"145",2044,0.0641017506398916
"146",2045,0.0641017506398916
"147",2046,0.0641017506398916
"148",2047,0.0641017506398916
"149",2048,0.0641017506398916
"150",2049,0.0641017506398916
"151",2050,0.0641017506398916
"152",2051,0.0641017506398916
"153",2052,0.0641017506398916
"154",2053,0.0641017506398916
"155",2054,0.0641017506398916
"156",2055,0.0641017506398916
"157",2056,0.0641017506398916
"158",2057,0.0641017506398916
"159",2058,0.0641017506398916
"160",2059,0.0641017506398916
"161",2060,0.0641017506398916
"162",2061,0.0641017506398916
"163",2062,0.0641017506398916
"164",2063,0.0641017506398916
"165",2064,0.0641017506398916
"166",2065,0.0641017506398916
"167",2066,0.0641017506398916
"168",2067,0.0641017506398916
"169",2068,0.0641017506398916
"170",2069,0.0641017506398916
"171",2070,0.0641017506398916
"172",2071,0.0641017506398916
"173",2072,0.0641017506398916
"174",2073,0.0641017506398916
"175",2074,0.0641017506398916
"176",2075,0.0641017506398916
"177",2076,0.0641017506398916
"178",2077,0.0641017506398916
"179",2078,0.0641017506398916
"180",2079,0.0641017506398916
"181",2080,0.0641017506398916
"182",2081,0.0641017506398916
"183",2082,0.0641017506398916
"184",2083,0.0641017506398916
"185",2084,0.0641017506398916
"186",2085,0.0641017506398916
"187",2086,0.0641017506398916
"188",2087,0.0641017506398916
"189",2088,0.0641017506398916
"190",2089,0.0641017506398916
"191",2090,0.0641017506398916
"192",2091,0.0641017506398916
"193",2092,0.0641017506398916
"194",2093,0.0641017506398916
"195",2094,0.0641017506398916
"196",2095,0.0641017506398916
"197",2096,0.0641017506398916
"198",2097,0.0641017506398916
"199",2098,0.0641017506398916
"200",2099,0.0641017506398916
